Id,Image,Part No,Name,Color,Quantity,Average Price,Value,Used Price,Used Value,Remarks
32.1,"=IMAGE(""HTTP://img.bricklink.com/P/71/3040.jpg"")",3040,Slope 45 2 x 1,Magenta,134,0.0259,3.4706,0.0259,3.4706,
32.2,"=IMAGE(""HTTP://img.bricklink.com/P/71/3040.jpg"")",3040,Slope 45 2 x 1,Magenta,134,0.0259,3.4706,0.0259,3.4706,
33,"=IMAGE(""HTTP://img.bricklink.com/P/1/3040.jpg"")",3040,Slope 45 2 x 1,White,50,0.0347,1.735,0.0346,1.73,
34,"=IMAGE(""HTTP://img.bricklink.com/P/85/3040.jpg"")",3040,Slope 45 2 x 1,Dark Bluish Gray,20,0.0407,0.8140000000000001,0.0413,0.8260000000000001,
35,"=IMAGE(""HTTP://img.bricklink.com/P/88/3040.jpg"")",3040,Slope 45 2 x 1,Reddish Brown,34,0.0484,1.6456,0.0489,1.6625999999999999,
36,"=IMAGE(""HTTP://img.bricklink.com/P/86/3040.jpg"")",3040,Slope 45 2 x 1,Light Bluish Gray,76,0.0404,3.0704,0.0404,3.0704,
37,"=IMAGE(""HTTP://img.bricklink.com/P/2/3040.jpg"")",3040,Slope 45 2 x 1,Tan,85,0.0325,2.7625,0.0327,2.7795,
38,"=IMAGE(""HTTP://img.bricklink.com/P/5/3040.jpg"")",3040,Slope 45 2 x 1,Red,171,0.0303,5.1813,0.0299,5.1129,
39,"=IMAGE(""HTTP://img.bricklink.com/P/104/3040.jpg"")",3040,Slope 45 2 x 1,Bright Pink,231,0.0410,9.471,0.0389,8.985899999999999,
40,"=IMAGE(""HTTP://img.bricklink.com/P/153/3040.jpg"")",3040,Slope 45 2 x 1,Dark Azure,230,0.0594,13.662,0.0586,13.478,
41,"=IMAGE(""HTTP://img.bricklink.com/P/4/3040.jpg"")",3040,Slope 45 2 x 1,Orange,184,0.0247,4.5448,0.0251,4.6184,
42,"=IMAGE(""HTTP://img.bricklink.com/P/3/3040.jpg"")",3040,Slope 45 2 x 1,Yellow,55,0.0306,1.6829999999999998,0.0302,1.661,
43,"=IMAGE(""HTTP://img.bricklink.com/P/3/4286.jpg"")",4286,Slope 33 3 x 1,Yellow,50,0.0588,2.94,0.0569,2.8449999999999998,
44,"=IMAGE(""HTTP://img.bricklink.com/P/5/4286.jpg"")",4286,Slope 33 3 x 1,Red,36,0.0363,1.3068,0.0365,1.3139999999999998,
45,"=IMAGE(""HTTP://img.bricklink.com/P/6/4286.jpg"")",4286,Slope 33 3 x 1,Green,70,0.0402,2.814,0.04,2.8000000000000003,
46,"=IMAGE(""HTTP://img.bricklink.com/P/88/4286.jpg"")",4286,Slope 33 3 x 1,Reddish Brown,47,0.0581,2.7307,0.0593,2.7871,
47,"=IMAGE(""HTTP://img.bricklink.com/P/10/4286.jpg"")",4286,Slope 33 3 x 1,Dark Gray,25,0.1242,3.105,0.124,3.1,
48,"=IMAGE(""HTTP://img.bricklink.com/P/11/4286.jpg"")",4286,Slope 33 3 x 1,Black,82,0.0405,3.321,0.0411,3.3701999999999996,
49,"=IMAGE(""HTTP://img.bricklink.com/P/7/4286.jpg"")",4286,Slope 33 3 x 1,Blue,31,0.0357,1.1067,0.0349,1.0819,
50,"=IMAGE(""HTTP://img.bricklink.com/P/1/4286.jpg"")",4286,Slope 33 3 x 1,White,28,0.0690,1.9320000000000002,0.069,1.9320000000000002,
51,"=IMAGE(""HTTP://img.bricklink.com/P/4/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",Orange,154,0.0442,6.806800000000001,0.0439,6.7606,
52,"=IMAGE(""HTTP://img.bricklink.com/P/24/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",Purple,60,0.1525,9.15,0.0635,3.81,
53,"=IMAGE(""HTTP://img.bricklink.com/P/11/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",Black,60,0.0413,2.478,0.0417,2.5020000000000002,
54,"=IMAGE(""HTTP://img.bricklink.com/P/6/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",Green,103,0.0359,3.6977,0.0364,3.7492,
55,"=IMAGE(""HTTP://img.bricklink.com/P/1/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",White,159,0.0333,5.294700000000001,0.0335,5.3265,
56,"=IMAGE(""HTTP://img.bricklink.com/P/3/3665.jpg"")",3665,"Slope, Inverted 45 2 x 1",Yellow,13,0.0423,0.5498999999999999,0.0418,0.5434,
57,"=IMAGE(""HTTP://img.bricklink.com/P/3/2456.jpg"")",2456,Brick 2 x 6,Yellow,116,0.1596,18.5136,0.1584,18.3744,
58,"=IMAGE(""HTTP://img.bricklink.com/P/85/2456.jpg"")",2456,Brick 2 x 6,Dark Bluish Gray,44,0.1964,8.6416,0.1976,8.6944,
59,"=IMAGE(""HTTP://img.bricklink.com/P/2/2456.jpg"")",2456,Brick 2 x 6,Tan,59,0.1675,9.8825,0.1665,9.823500000000001,
60,"=IMAGE(""HTTP://img.bricklink.com/P/5/2456.jpg"")",2456,Brick 2 x 6,Red,122,0.1882,22.9604,0.1871,22.8262,
61,"=IMAGE(""HTTP://img.bricklink.com/P/7/2456.jpg"")",2456,Brick 2 x 6,Blue,14,0.1607,2.2498,0.16,2.24,
62,"=IMAGE(""HTTP://img.bricklink.com/P/86/2456.jpg"")",2456,Brick 2 x 6,Light Bluish Gray,15,0.2007,3.0105,0.2,3.0,
63,"=IMAGE(""HTTP://img.bricklink.com/P/2/3795.jpg"")",3795,Plate 2 x 6,Tan,20,0.0923,1.8459999999999999,0.0924,1.8479999999999999,
64,"=IMAGE(""HTTP://img.bricklink.com/P/1/3795.jpg"")",3795,Plate 2 x 6,White,32,0.0996,3.1872,0.0994,3.1808,
65,"=IMAGE(""HTTP://img.bricklink.com/P/69/3795.jpg"")",3795,Plate 2 x 6,Dark Tan,16,0.0676,1.0816,0.0674,1.0784,
66,"=IMAGE(""HTTP://img.bricklink.com/P/88/3795.jpg"")",3795,Plate 2 x 6,Reddish Brown,102,0.0617,6.2934,0.0618,6.3036,
67,"=IMAGE(""HTTP://img.bricklink.com/P/7/3795.jpg"")",3795,Plate 2 x 6,Blue,13,0.0822,1.0686,0.0826,1.0738,
68,"=IMAGE(""HTTP://img.bricklink.com/P/3/3795.jpg"")",3795,Plate 2 x 6,Yellow,34,0.0781,2.6554,0.0773,2.6281999999999996,
69,"=IMAGE(""HTTP://img.bricklink.com/P/5/3795.jpg"")",3795,Plate 2 x 6,Red,25,0.0981,2.4525,0.0985,2.4625,
70,"=IMAGE(""HTTP://img.bricklink.com/P/5/3034.jpg"")",3034,Plate 2 x 8,Red,156,0.1259,19.640400000000003,0.1266,19.749599999999997,
71,"=IMAGE(""HTTP://img.bricklink.com/P/85/3738.jpg"")",3738,"Technic, Plate 2 x 8 with 7 Holes",Dark Bluish Gray,44,0.2211,9.728399999999999,0.2203,9.6932,
72,"=IMAGE(""HTTP://img.bricklink.com/P/7/3034.jpg"")",3034,Plate 2 x 8,Blue,15,0.0976,1.4640000000000002,0.0972,1.458,
73,"=IMAGE(""HTTP://img.bricklink.com/P/3/3034.jpg"")",3034,Plate 2 x 8,Yellow,19,0.1606,3.0513999999999997,0.1597,3.0343,
74,"=IMAGE(""HTTP://img.bricklink.com/P/86/3007.jpg"")",3007,Brick 2 x 8,Light Bluish Gray,21,0.3445,7.2345,0.3428,7.1988,
75,"=IMAGE(""HTTP://img.bricklink.com/P/1/3007.jpg"")",3007,Brick 2 x 8,White,41,0.3862,15.8342,0.3921,16.0761,
76.1,"=IMAGE(""HTTP://img.bricklink.com/P/5/3007.jpg"")",3007,Brick 2 x 8,Red,46,0.2858,13.1468,0.2852,13.119200000000001,
76.2,"=IMAGE(""HTTP://img.bricklink.com/P/5/3007.jpg"")",3007,Brick 2 x 8,Red,46,0.2858,13.1468,0.2852,13.119200000000001,
77,"=IMAGE(""HTTP://img.bricklink.com/P/3/3007.jpg"")",3007,Brick 2 x 8,Yellow,69,0.2591,17.8779,0.2533,17.477700000000002,
78,"=IMAGE(""HTTP://img.bricklink.com/P/7/3007.jpg"")",3007,Brick 2 x 8,Blue,63,0.2476,15.598799999999999,0.2499,15.7437,
79,"=IMAGE(""HTTP://img.bricklink.com/P/1/3832.jpg"")",3832,Plate 2 x 10,White,18,0.2137,3.8466,0.2135,3.843,
80.1,"=IMAGE(""HTTP://img.bricklink.com/P/2/3832.jpg"")",3832,Plate 2 x 10,Tan,111,0.1313,14.5743,0.131,14.541,
80.2,"=IMAGE(""HTTP://img.bricklink.com/P/2/3832.jpg"")",3832,Plate 2 x 10,Tan,111,0.1313,14.5743,0.131,14.541,
81.1,"=IMAGE(""HTTP://img.bricklink.com/P/86/2445.jpg"")",2445,Plate 2 x 12,Light Bluish Gray,50,0.2676,13.38,0.2677,13.385,
81.2,"=IMAGE(""HTTP://img.bricklink.com/P/86/2445.jpg"")",2445,Plate 2 x 12,Light Bluish Gray,50,0.2676,13.38,0.2677,13.385,
82,"=IMAGE(""HTTP://img.bricklink.com/P/1/3832.jpg"")",N/A,Misc 2x10-12,Various,25,0.1,2.5,0.1,2.5,
83,"=IMAGE(""HTTP://img.bricklink.com/P/1/3795.jpg"")",N/A,Misc 2x6,Various,34,0.1,3.4000000000000004,0.1,3.4000000000000004,
84,"=IMAGE(""HTTP://img.bricklink.com/P/1/3034.jpg"")",N/A,Misc 2x8,Various,45,0.1,4.5,0.1,4.5,
85,"=IMAGE(""HTTP://img.bricklink.com/P/3/3020.jpg"")",3020,Plate 2 x 4,Yellow,46,0.0763,3.5098000000000003,0.0768,3.5327999999999995,
86,"=IMAGE(""HTTP://img.bricklink.com/P/80/3020.jpg"")",3020,Plate 2 x 4,Dark Green,49,0.1004,4.9196,0.0994,4.8706000000000005,
87,"=IMAGE(""HTTP://img.bricklink.com/P/86/3020.jpg"")",3020,Plate 2 x 4,Light Bluish Gray,100,0.0666,6.660000000000001,0.0668,6.68,
88,"=IMAGE(""HTTP://img.bricklink.com/P/85/3020.jpg"")",3020,Plate 2 x 4,Dark Bluish Gray,68,0.0593,4.0324,0.0592,4.0256,
89,"=IMAGE(""HTTP://img.bricklink.com/P/11/3020.jpg"")",3020,Plate 2 x 4,Black,126,0.0711,8.958599999999999,0.0706,8.8956,
90,"=IMAGE(""HTTP://img.bricklink.com/P/68/3020.jpg"")",3020,Plate 2 x 4,Dark Orange,38,0.1395,5.301,0.1425,5.414999999999999,
91,"=IMAGE(""HTTP://img.bricklink.com/P/6/3020.jpg"")",3020,Plate 2 x 4,Green,110,0.0882,9.702,0.0885,9.735,
92,"=IMAGE(""HTTP://img.bricklink.com/P/155/3020.jpg"")",3020,Plate 2 x 4,Olive Green,89,0.1800,16.02,0.1788,15.913199999999998,
93.1,"=IMAGE(""HTTP://img.bricklink.com/P/5/3020.jpg"")",3020,Plate 2 x 4,Red,210,0.0648,13.607999999999999,0.0649,13.629,
93.2,"=IMAGE(""HTTP://img.bricklink.com/P/5/3020.jpg"")",3020,Plate 2 x 4,Red,210,0.0648,13.607999999999999,0.0649,13.629,
94,"=IMAGE(""HTTP://img.bricklink.com/P/69/3020.jpg"")",3020,Plate 2 x 4,Dark Tan,101,0.0653,6.5953,0.0652,6.5851999999999995,
95,"=IMAGE(""HTTP://img.bricklink.com/P/157/3020.jpg"")",3020,Plate 2 x 4,Medium Lavender,57,0.0535,3.0495,0.0509,2.9013,
96,"=IMAGE(""HTTP://img.bricklink.com/P/4/3020.jpg"")",3020,Plate 2 x 4,Orange,72,0.0626,4.5072,0.0623,4.4856,
97.1,"=IMAGE(""HTTP://img.bricklink.com/P/24/3020.jpg"")",3020,Plate 2 x 4,Purple,13,1.1131,14.4703,1.0225,13.2925,
97.2,"=IMAGE(""HTTP://img.bricklink.com/P/24/3020.jpg"")",3020,Plate 2 x 4,Purple,13,1.1131,14.4703,1.0225,13.2925,
98,"=IMAGE(""HTTP://img.bricklink.com/P/1/3020.jpg"")",3020,Plate 2 x 4,White,70,0.0897,6.279,0.0896,6.272,
99,"=IMAGE(""HTTP://img.bricklink.com/P/156/3020.jpg"")",3020,Plate 2 x 4,Medium Azure,191,0.0516,9.8556,0.0524,10.0084,
100,"=IMAGE(""HTTP://img.bricklink.com/P/59/3020.jpg"")",3020,Plate 2 x 4,Dark Red,50,0.0739,3.695,0.0735,3.675,
101,"=IMAGE(""HTTP://img.bricklink.com/P/7/3020.jpg"")",3020,Plate 2 x 4,Blue,44,0.0531,2.3364000000000003,0.0532,2.3407999999999998,
102.1,"=IMAGE(""HTTP://img.bricklink.com/P/105/3020.jpg"")",3020,Plate 2 x 4,Bright Light Blue,172,0.0672,11.558399999999999,0.0666,11.455200000000001,
102.2,"=IMAGE(""HTTP://img.bricklink.com/P/105/3020.jpg"")",3020,Plate 2 x 4,Bright Light Blue,172,0.0672,11.558399999999999,0.0666,11.455200000000001,
103.1,"=IMAGE(""HTTP://img.bricklink.com/P/88/3020.jpg"")",3020,Plate 2 x 4,Reddish Brown,238,0.0477,11.3526,0.0478,11.3764,
103.2,"=IMAGE(""HTTP://img.bricklink.com/P/88/3020.jpg"")",3020,Plate 2 x 4,Reddish Brown,238,0.0477,11.3526,0.0478,11.3764,
104,"=IMAGE(""HTTP://img.bricklink.com/P/2/3020.jpg"")",3020,Plate 2 x 4,Tan,211,0.0594,12.5334,0.0594,12.5334,
105,"=IMAGE(""HTTP://img.bricklink.com/P/11/3002.jpg"")",3002,Brick 2 x 3,Black,190,0.1183,22.477,0.1196,22.724,
106.1,"=IMAGE(""HTTP://img.bricklink.com/P/5/3002.jpg"")",3002,Brick 2 x 3,Red,191,0.0686,13.102599999999999,0.0688,13.1408,
106.2,"=IMAGE(""HTTP://img.bricklink.com/P/5/3002.jpg"")",3002,Brick 2 x 3,Red,191,0.0686,13.102599999999999,0.0688,13.1408,
107.1,"=IMAGE(""HTTP://img.bricklink.com/P/7/3002.jpg"")",3002,Brick 2 x 3,Blue,138,0.0602,8.307599999999999,0.0602,8.307599999999999,
107.2,"=IMAGE(""HTTP://img.bricklink.com/P/7/3002.jpg"")",3002,Brick 2 x 3,Blue,138,0.0602,8.307599999999999,0.0602,8.307599999999999,
108.1,"=IMAGE(""HTTP://img.bricklink.com/P/1/3002.jpg"")",3002,Brick 2 x 3,White,180,0.1007,18.126,0.1005,18.09,
108.2,"=IMAGE(""HTTP://img.bricklink.com/P/1/3002.jpg"")",3002,Brick 2 x 3,White,180,0.1007,18.126,0.1005,18.09,
109,"=IMAGE(""HTTP://img.bricklink.com/P/6/3002.jpg"")",3002,Brick 2 x 3,Green,146,0.0653,9.5338,0.0654,9.548399999999999,
110.1,"=IMAGE(""HTTP://img.bricklink.com/P/3/3002.jpg"")",3002,Brick 2 x 3,Yellow,147,0.0642,9.437399999999998,0.0649,9.5403,
110.2,"=IMAGE(""HTTP://img.bricklink.com/P/3/3002.jpg"")",3002,Brick 2 x 3,Yellow,147,0.0642,9.437399999999998,0.0649,9.5403,
111,"=IMAGE(""HTTP://img.bricklink.com/P/2/3002.jpg"")",3002,Brick 2 x 3,Tan,47,0.0957,4.4979,0.0969,4.5543,
112,"=IMAGE(""HTTP://img.bricklink.com/P/34/3002.jpg"")",3002,Brick 2 x 3,Lime,62,0.0517,3.2054,0.0527,3.2674,
113,"=IMAGE(""HTTP://img.bricklink.com/P/4/3002.jpg"")",3002,Brick 2 x 3,Orange,101,0.0544,5.4944,0.0545,5.5045,
114,"=IMAGE(""HTTP://img.bricklink.com/P/104/3002.jpg"")",3002,Brick 2 x 3,Bright Pink,55,0.0671,3.6905000000000006,0.0693,3.8115,
115,"=IMAGE(""HTTP://img.bricklink.com/P/86/3002.jpg"")",3002,Brick 2 x 3,Light Bluish Gray,64,0.1192,7.6288,0.1195,7.648,
116,"=IMAGE(""HTTP://img.bricklink.com/P/42/3002.jpg"")",3002,Brick 2 x 3,Medium Blue,25,0.1549,3.8725,0.1537,3.8425000000000002,
117.1,"=IMAGE(""HTTP://img.bricklink.com/P/1/2412b.jpg"")",2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",Various,230,0.1,23.0,0.1,23.0,
117.2,"=IMAGE(""HTTP://img.bricklink.com/P/1/2412b.jpg"")",2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",Various,230,0.1,23.0,0.1,23.0,
118,"=IMAGE(""HTTP://img.bricklink.com/P/1/4865.jpg"")",4865,Panel 1 x 2 x 1,Various,100,0.1,10.0,0.1,10.0,
119,"=IMAGE(""HTTP://img.bricklink.com/P/1/4162.jpg"")",4162,Tile 1 x 8,White,81,0.2180,17.658,0.2177,17.6337,
120,"=IMAGE(""HTTP://img.bricklink.com/P/7/4162.jpg"")",4162,Tile 1 x 8,Blue,91,0.0965,8.7815,0.0966,8.790600000000001,
121,"=IMAGE(""HTTP://img.bricklink.com/P/5/4162.jpg"")",4162,Tile 1 x 8,Red,170,0.1070,18.19,0.1079,18.343,
122,"=IMAGE(""HTTP://img.bricklink.com/P/11/4162.jpg"")",4162,Tile 1 x 8,Black,92,0.1903,17.5076,0.193,17.756,
123,"=IMAGE(""HTTP://img.bricklink.com/P/1/87079.jpg"")",87079,Tile 2 x 4,Various,43,0.1,4.3,0.1,4.3,
124,"=IMAGE(""HTTP://img.bricklink.com/P/6/2431.jpg"")",2431,Tile 1 x 4,Green,212,0.0556,11.787199999999999,0.0561,11.8932,
125.1,"=IMAGE(""HTTP://img.bricklink.com/P/88/2431.jpg"")",2431,Tile 1 x 4,Reddish Brown,218,0.0993,21.6474,0.1015,22.127000000000002,
125.2,"=IMAGE(""HTTP://img.bricklink.com/P/88/2431.jpg"")",2431,Tile 1 x 4,Reddish Brown,218,0.0993,21.6474,0.1015,22.127000000000002,
126,"=IMAGE(""HTTP://img.bricklink.com/P/86/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Light Bluish Gray,147,0.0757,11.1279,0.0757,11.1279,
127.1,"=IMAGE(""HTTP://img.bricklink.com/P/5/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Red,162,0.0602,9.7524,0.0603,9.7686,
127.2,"=IMAGE(""HTTP://img.bricklink.com/P/5/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Red,162,0.0602,9.7524,0.0603,9.7686,
128.1,"=IMAGE(""HTTP://img.bricklink.com/P/69/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Dark Tan,153,0.0911,13.9383,0.0909,13.907699999999998,
128.2,"=IMAGE(""HTTP://img.bricklink.com/P/69/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Dark Tan,153,0.0911,13.9383,0.0909,13.907699999999998,
129.1,"=IMAGE(""HTTP://img.bricklink.com/P/104/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Bright Pink,242,0.0263,6.3646,0.0264,6.3888,
129.2,"=IMAGE(""HTTP://img.bricklink.com/P/104/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Bright Pink,242,0.0263,6.3646,0.0264,6.3888,
130.1,"=IMAGE(""HTTP://img.bricklink.com/P/24/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Dark Purple,155,0.0962,14.911,0.0323,5.0065,
130.2,"=IMAGE(""HTTP://img.bricklink.com/P/24/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Dark Purple,155,0.0962,14.911,0.0323,5.0065,
131.1,"=IMAGE(""HTTP://img.bricklink.com/P/34/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Lime,151,0.0327,4.9377,0.0328,4.952800000000001,
131.2,"=IMAGE(""HTTP://img.bricklink.com/P/34/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Lime,151,0.0327,4.9377,0.0328,4.952800000000001,
132,"=IMAGE(""HTTP://img.bricklink.com/P/1/3069b.jpg"")",3069b,Tile 1 x 2 with Groove,Various,73,0.1,7.300000000000001,0.1,7.300000000000001,
133,"=IMAGE(""HTTP://img.bricklink.com/P/1/3068b.jpg"")",3068b,Tile 2 x 2 with Groove,Various,33,0.1,3.3000000000000003,0.1,3.3000000000000003,
134,"=IMAGE(""HTTP://img.bricklink.com/P/1/85984.jpg"")",85984,Slope 30 1 x 2 x 2/3,White,117,0.0671,7.850700000000001,0.0671,7.850700000000001,
135,"=IMAGE(""HTTP://img.bricklink.com/P/1/3068b.jpg"")",N/A,Misc Tile/Jumper,Various,55,0.1,5.5,0.1,5.5,
136.1,"=IMAGE(""HTTP://img.bricklink.com/P/34/4073.jpg"")",4073,"Plate, Round 1 x 1 Straight Side",Lime,141,0.0150,2.1149999999999998,0.015,2.1149999999999998,
136.2,"=IMAGE(""HTTP://img.bricklink.com/P/34/4073.jpg"")",4073,"Plate, Round 1 x 1 Straight Side",Lime,141,0.0150,2.1149999999999998,0.015,2.1149999999999998,
137.1,"=IMAGE(""HTTP://img.bricklink.com/P/89/4073.jpg"")",4073,"Plate, Round 1 x 1 Straight Side",Dark Purple,177,0.0206,3.6462,0.0204,3.6108000000000002,
137.2,"=IMAGE(""HTTP://img.bricklink.com/P/89/4073.jpg"")",4073,"Plate, Round 1 x 1 Straight Side",Dark Purple,177,0.0206,3.6462,0.0204,3.6108000000000002,
